"age","workclass","fnlwgt","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
40," Private",121772,11," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Philippines"," >50K"
54," Self-emp-not-inc",180211,10," Married-civ-spouse"," Sales"," Husband"," Asian-Pac-Islander"," Male",0,0,60," South"," >50K"
31," Private",84154,10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,38," United-States"," >50K"
18," Private",226956,9," Never-married"," Other-service"," Own-child"," White"," Female",0,0,30," United-States"," <=50K"
32," Private",293936,4," Married-spouse-absent"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," Mexico"," <=50K"
25," Private",200681,10," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
67," Self-emp-not-inc",212759,6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,2," United-States"," <=50K"
30," Private",117747,9," Married-civ-spouse"," Sales"," Wife"," Asian-Pac-Islander"," Female",0,1573,35," United-States"," <=50K"
17," Private",304873,6," Never-married"," Craft-repair"," Own-child"," White"," Female",34095,0,32," United-States"," <=50K"
35," Private",129305,9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
43," Private",174662,10," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
52," Private",252903,9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,45," United-States"," >50K"
68," Private",38317,2," Divorced"," Other-service"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"
53," Private",135105,13," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,50," United-States"," <=50K"
19," Private",170653,9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," Italy"," <=50K"
64," Private",187656,2," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
60," Private",24215,6," Divorced"," Adm-clerical"," Not-in-family"," Amer-Indian-Eskimo"," Female",0,0,10," United-States"," <=50K"
20," Private",119156,10," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"
56," Private",203580,9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
45," Private",153141,9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
19," Private",218956,10," Never-married"," Other-service"," Own-child"," White"," Male",0,0,24," Canada"," <=50K"
39," Federal-gov",157443,14," Married-civ-spouse"," Prof-specialty"," Wife"," Asian-Pac-Islander"," Female",3464,0,40," Taiwan"," <=50K"
19," Private",860348,10," Never-married"," Adm-clerical"," Own-child"," Black"," Female",0,0,25," United-States"," <=50K"
23," Private",211601,11," Never-married"," Sales"," Own-child"," Black"," Female",0,0,15," United-States"," <=50K"
67," Private",36135,7," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,8," United-States"," <=50K"
30," Private",151989,11," Divorced"," Tech-support"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
59," Local-gov",372020,13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
34," State-gov",98101,13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7688,0,45," United-States"," >50K"
20," Private",137300,9," Never-married"," Machine-op-inspct"," Other-relative"," White"," Female",0,0,35," United-States"," <=50K"
28," Private",123147,10," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,1887,40," United-States"," >50K"
80," Self-emp-not-inc",107762,9," Widowed"," Other-service"," Not-in-family"," White"," Male",0,0,24," United-States"," <=50K"
17," Private",202521,7," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
17," Private",258872,7," Never-married"," Other-service"," Own-child"," White"," Female",0,0,5," United-States"," <=50K"
42," Private",197583,12," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,40," United-States"," >50K"
32," Private",115745,10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
