"age","workclass","fnlwgt","education_num","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
40," Private",121772,11," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Canada"," >50K"
54," Local-gov",180211,10," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",0,0,60," South"," >50K"
31," Private",84154,10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,38," Cambodia"," >50K"
18," Private",226956,9," Never-married"," Other-service"," Own-child"," White"," Female",0,0,30," Cambodia"," <=50K"
32," Federal-gov",293936,4," Married-spouse-absent"," Adm-clerical"," Not-in-family"," White"," Male",0,0,40," Cambodia"," <=50K"
25," Local-gov",200681,10," Never-married"," Exec-managerial"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
67," Private",212759,6," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,2," United-States"," <=50K"
30," Private",117747,9," Married-civ-spouse"," Sales"," Wife"," Asian-Pac-Islander"," Female",0,1573,35," Cambodia"," <=50K"
17," Federal-gov",304873,6," Never-married"," Craft-repair"," Own-child"," White"," Female",34095,0,32," United-States"," <=50K"
35," Federal-gov",129305,9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
43," Federal-gov",174662,10," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
52," Federal-gov",252903,9," Divorced"," Adm-clerical"," Not-in-family"," White"," Male",0,0,45," United-States"," >50K"
68," Federal-gov",38317,2," Divorced"," Armed-Forces"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"
53," Federal-gov",135105,13," Divorced"," Craft-repair"," Not-in-family"," White"," Female",0,0,50," United-States"," <=50K"
19," Local-gov",170653,9," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," Italy"," <=50K"
64," Federal-gov",187656,2," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
60," Local-gov",24215,6," Divorced"," Armed-Forces"," Not-in-family"," Amer-Indian-Eskimo"," Female",0,0,10," United-States"," <=50K"
20," Federal-gov",119156,10," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"
56," Private",203580,9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,35," Cambodia"," <=50K"
45," Private",153141,9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," Cambodia"," <=50K"
19," Federal-gov",218956,10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,24," Canada"," <=50K"
39," Federal-gov",157443,14," Married-civ-spouse"," Craft-repair"," Wife"," Asian-Pac-Islander"," Female",3464,0,40," Columbia"," <=50K"
19," Federal-gov",860348,10," Never-married"," Adm-clerical"," Own-child"," Black"," Female",0,0,25," United-States"," <=50K"
23," Local-gov",211601,11," Never-married"," Armed-Forces"," Own-child"," Black"," Female",0,0,15," United-States"," <=50K"
67," Local-gov",36135,7," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,8," United-States"," <=50K"
30," Federal-gov",151989,11," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
59," Federal-gov",372020,13," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," >50K"
34," State-gov",98101,13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",7688,0,45," Cambodia"," >50K"
20," Federal-gov",137300,9," Never-married"," Armed-Forces"," Other-relative"," White"," Female",0,0,35," United-States"," <=50K"
28," Local-gov",123147,10," Married-civ-spouse"," Armed-Forces"," Wife"," White"," Female",0,1887,40," United-States"," >50K"
80," Never-worked",107762,9," Widowed"," Craft-repair"," Not-in-family"," White"," Male",0,0,24," United-States"," <=50K"
17," Local-gov",202521,7," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
17," Federal-gov",258872,7," Never-married"," Armed-Forces"," Own-child"," White"," Female",0,0,5," United-States"," <=50K"
42," Private",197583,12," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,40," Canada"," >50K"
32," Federal-gov",115745,10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
22," Federal-gov",139883,10," Never-married"," Armed-Forces"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
52," Federal-gov",271749,8," Never-married"," Exec-managerial"," Other-relative"," Black"," Male",594,0,40," United-States"," <=50K"
63," Federal-gov",401531,2," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
72," Never-worked",303588,9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,20," United-States"," <=50K"
53," Federal-gov",251804,3," Widowed"," Armed-Forces"," Unmarried"," Black"," Female",0,0,30," United-States"," <=50K"
57," Local-gov",222216,11," Widowed"," Craft-repair"," Unmarried"," White"," Female",0,0,38," United-States"," <=50K"
20," Federal-gov",214635,10," Never-married"," Exec-managerial"," Own-child"," White"," Male",0,0,24," United-States"," <=50K"
21," Federal-gov",204226,10," Never-married"," Craft-repair"," Unmarried"," White"," Female",0,0,35," United-States"," <=50K"
34," Local-gov",190027,9," Never-married"," Armed-Forces"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
31," Private",323069,9," Separated"," Adm-clerical"," Unmarried"," White"," Female",0,0,20," Cambodia"," <=50K"
18," Federal-gov",165532,8," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,25," United-States"," <=50K"
65," Federal-gov",195733,10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,30," United-States"," >50K"
42," Local-gov",137390,9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
55," Federal-gov",105138,9," Married-civ-spouse"," Adm-clerical"," Wife"," Asian-Pac-Islander"," Female",0,0,40," United-States"," <=50K"
23," Local-gov",99399,10," Never-married"," Craft-repair"," Unmarried"," Amer-Indian-Eskimo"," Female",0,0,25," United-States"," <=50K"
58," Never-worked",158611,9," Married-civ-spouse"," Armed-Forces"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
70," Federal-gov",167358,5," Widowed"," Exec-managerial"," Unmarried"," White"," Female",1111,0,15," United-States"," <=50K"
20," Local-gov",114746,7," Married-spouse-absent"," Exec-managerial"," Own-child"," Asian-Pac-Islander"," Female",0,1762,40," South"," <=50K"
17," Federal-gov",80077,7," Never-married"," Armed-Forces"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
66," Federal-gov",149422,4," Never-married"," Armed-Forces"," Not-in-family"," White"," Male",0,0,4," United-States"," <=50K"
25," Federal-gov",202480,12," Never-married"," Craft-repair"," Other-relative"," White"," Male",0,0,45," United-States"," <=50K"
36," Private",271767,13," Separated"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," Cambodia"," <=50K"
43," Private",177937,13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," Cambodia"," >50K"
65," Self-emp-not-inc",118474,7," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",9386,0,59," Cambodia"," >50K"
